Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
05-01-2023,2022,PSX,Phillips 66,DCP Midstream LP,,3783.87,7.47,23-12-2022,95.88,17-01-2023,94.57,38746.02,0.01,13882306.74,Completed
04-01-2023,2022,HASI,HA Sustainable Infrastructure,Portfolio of 1.3 GW renewables/US,AES Corp/The,,,23-12-2022,26.44,17-01-2023,30.71,3154.02,0.99,0,Completed
03-01-2023,2022,TRGP,Targa Resources Corp,Grand Prix NGL Pipeline,Blackstone Inc,1050,,23-12-2022,69.81,13-01-2023,71.75,14663.82,1.54,8434072.294,Completed
03-01-2023,2022,AMPS,Altus Power Inc,220 mw solar assets/True Green Capital Management LLC,True Green Capital Management LLC,293,,23-12-2022,6.37,13-01-2023,8.41,992,0.79,440.413,Completed
03-01-2023,2022,SHEL,Shell PLC,TF Hudgins Inc,CapStreet Group LLC/The,,,23-12-2022,52.78,13-01-2023,54.45,153669.15,1.09,41006166.52,Completed
21-12-2022,2021,AM,Antero Midstream Corp,Certain compression assets/Utica,EnLink Midstream LLC,10,,09-12-2022,8.81,03-01-2023,9.01,4407.63,1.93,850474.9895,Completed
19-12-2022,2021,LINK,Interlink Electronics Inc,"KWJ Engineering Inc,Spec Sensors LLC",,2,,08-12-2022,6.06,29-12-2022,5.67,59.35,-3.7,1280.43,Completed
06-12-2022,2021,NRG,NRG Energy Inc,Vivint Smart Home Inc,,5017.07,9.53,25-11-2022,39.35,16-12-2022,28.98,6428.81,2.68,18279398.4,Completed
28-11-2022,2021,PATK,Patrick Industries Inc,Transhield Inc,Ancor Holdings LP,,,17-11-2022,33.43,08-12-2022,35.46,1150.81,0.48,62251.641,Completed
18-11-2022,2021,CVX,Chevron Corp,Beyond6 LLC,,,,07-11-2022,168.04,28-11-2022,162.72,293928.9,1.26,28582001.82,Completed
18-11-2022,2021,CVX,Chevron Corp,Beyond6 LLC,"Mercuria Energy Trading Inc,Unknown Seller",,,07-11-2022,168.04,28-11-2022,162.72,293928.9,1.26,28582001.82,Completed
16-11-2022,2021,FANG,Diamondback Energy Inc,Lario Permian LLC,Lario Oil & Gas Co,1494.76,,04-11-2022,144.4,28-11-2022,130.38,41741.1,1.6,1253208.511,Completed
15-11-2022,2021,CMC,Commercial Metals Co,Metals recycling facility & related assets/Galveston,"Kodiak Properties LLC,Kodiak Resources Inc",,,04-11-2022,44.5,25-11-2022,46.57,5202.73,-2.59,652075.7533,Completed
11-11-2022,2021,AIV,Apartment Investment and Management Co,Howard Energy Partners,,,,31-10-2022,7.41,21-11-2022,7.46,1025.58,-0.5,2054.295,Completed
07-11-2022,2021,CPK,Chesapeake Utilities Corp,Planet Found Energy Development LLC,,9.4,,27-10-2022,118.41,17-11-2022,108.56,2331.36,1.02,221805,Completed
02-11-2022,2021,PUMP,ProPetro Holding Corp,Silvertip Completion Services,,136.16,,21-10-2022,11.28,14-11-2022,11.33,1119.38,-1.39,14877.679,Completed
02-11-2022,2021,CEG,Constellation Energy Corp,Rebate Business/Bill Identity Ltd,Optima Technology Group Ltd,2.8,,21-10-2022,85.5,14-11-2022,92.15,28530.43,1.61,11387377.59,Completed
02-11-2022,2021,WTTR,Select Water Solutions Inc,"Breakwater Energy Partners LLC,Breakwater & water pipeline assets/Cypress Environmental Services LLC",Cypress Environmental Partners,,,21-10-2022,8.12,14-11-2022,8.15,887.92,-0.12,335852.059,Completed
27-10-2022,2021,ARIS,Aris Water Solution Inc,Intellectual property rights and related proprietary treatment technologies,Water Standard Management US Inc,,,14-10-2022,12.88,07-11-2022,15.68,464.35,0.53,19451.66905,Completed
26-10-2022,2021,BH,Biglari Holdings Inc,Abraxas Petroleum Corp,,54.9,1.2,14-10-2022,125.97,07-11-2022,141.95,278.58,3.71,6418.043,Completed
26-10-2022,2021,PROP,Prairie Operating Co,Prairie Operating Co LLC,,28.2,,14-10-2022,6.47,07-11-2022,4.41,135.1,-10.66,301.2594448,Completed
26-10-2022,2021,NOA,North American Construction Group Ltd,ML Northern Services Ltd,,11.06,,14-10-2022,10.19,07-11-2022,12.4,298.68,0.82,10842.84,Completed
18-10-2022,2021,D,Dominion Energy Inc,Energy Storage Project/East Point Energy,East Point Energy LLC,,,07-10-2022,56.75,28-10-2022,61.18,49972,-0.07,15471297.2,Completed
12-10-2022,2021,FANG,Diamondback Energy Inc,Firebird Energy LLC,,1555.05,,30-09-2022,107.79,24-10-2022,137.14,36563.48,1.6,1253208.511,Completed
11-10-2022,2021,NOG,Northern Oil and Gas Inc,Non operated interests/Northern Delaware Basin,,130,,30-09-2022,24.88,21-10-2022,31.29,2681.45,1.28,342025.4175,Completed
30-09-2022,2021,NOG,Northern Oil and Gas Inc,Non operated interests/Delaware Basin,Alpha Energy Partners LLC,157.5,,19-09-2022,27.75,10-10-2022,29.78,2465.56,1.28,342025.4175,Completed
29-09-2022,2021,DTM,DT Midstream Inc,Millennium Pipeline Co LLC,National Grid PLC,552,,16-09-2022,50.32,10-10-2022,47.89,4767.69,0.73,39311.38845,Completed
29-09-2022,2021,DTM,DT Midstream Inc,Millennium Pipeline/US,National Grid PLC,552,,16-09-2022,50.32,10-10-2022,47.89,4767.69,0.73,39311.38845,Completed
29-09-2022,2021,BN,Brookfield Corp,Standard Solar Inc,Energir Inc,530,,16-09-2022,38.12,10-10-2022,31.78,48752.31,0.01,778802.7825,Completed
29-09-2022,2021,ENB,Enbridge Inc,Tri Global Energy LLC,"Altius Minerals Corp,Unknown Seller",270,,16-09-2022,35.77,10-10-2022,31.77,71682,0.27,7431128,Completed
23-09-2022,2021,ETR,Entergy Corp,475 MW Solar Gnerating capacity/US,,,,12-09-2022,52.31,03-10-2022,44.56,20165.71,0.44,35663689,Completed
22-09-2022,2021,TALO,Talos Energy Inc,Enven Energy Corp,,1108.47,,09-09-2022,20.31,03-10-2022,18.74,3163.65,-1.04,1143630.466,Completed
13-09-2022,2021,AM,Antero Midstream Corp,Marcellus natural gas gathering & compression assets/West Virginia,Crestwood Equity Partners LP,205,,02-09-2022,8.31,23-09-2022,7.57,4011.15,1.93,850474.9895,Completed
12-09-2022,2021,ARKO,Arko Corp,Transit Energy Group LLC,,370,,01-09-2022,9.26,22-09-2022,9.31,1157.1,-0.06,79943.638,Completed
09-09-2022,2021,SPRU,Spruce Power Holding Corp,Spruce Power Holdings LLC,HPS Investment Partners LLC,58,,29-08-2022,9.36,19-09-2022,8.4,174.12,-6.63,179.523,Completed
07-09-2022,2021,EQT,EQT Corp,"Upstream assets/THQ Appalachia I LLC,Gathering & processing assets/THQ-XcL Holdings I LLC",Quantum Energy Partners LLC,4939.63,,26-08-2022,47.68,19-09-2022,45.45,26382.54,1.05,213267.112,Completed
18-08-2022,2021,ABM,ABM Industries Inc,RavenVolt Inc,,170,,05-08-2022,42.32,29-08-2022,44.36,2869.61,-0.23,37273.091,Completed
18-08-2022,2021,ENB,Enbridge Inc,Gray Oak Pipeline LLC,Phillips 66,,,05-08-2022,36.75,29-08-2022,38.33,82386.76,0.27,7431128,Completed
17-08-2022,2021,NOG,Northern Oil and Gas Inc,Non operated interests/Midland Basin,,110,,05-08-2022,24.05,29-08-2022,29.33,2606.87,1.28,342025.4175,Completed
15-08-2022,2021,BKR,Baker Hughes Co,Quest Integrity Group LLC,Team Inc,280,,04-08-2022,22.13,25-08-2022,25.07,23560.5,3.07,391346,Completed
11-08-2022,2021,KMI,Kinder Morgan Inc,North American Natural Resources Inc,,135,,29-07-2022,15.51,22-08-2022,16.01,35622.56,0.93,14100000,Completed
09-08-2022,2021,DVN,Devon Energy Corp,Validus Energy Aquilas Assetco LLC,,1800,,29-07-2022,54.73,19-08-2022,59.65,33341.14,2.1,1543105.449,Completed
09-08-2022,2021,APA,APA Corp,Mining properties/Texas Delaware Basin,,505,,29-07-2022,34.49,19-08-2022,33.55,11068.99,1.83,3844050.623,Completed
09-08-2022,2021,EVRG,Evergy Inc,199 MW Persimmon creek wind Farm/Oklahoma,"Gestamp Eolica SL,Scout Clean Energy LLC",250,,29-07-2022,61.24,19-08-2022,64.51,14349.23,0.24,26540373,Completed
09-08-2022,2021,EVRG,Evergy Inc,Wind farm/Oklahoma,,,,29-07-2022,61.24,19-08-2022,64.51,14349.23,0.24,26540373,Completed
04-08-2022,2021,ET,Energy Transfer LP,Woodford Express LLC,Xplorer Midstream LLC,485,,22-07-2022,8.11,15-08-2022,9.35,30147.96,0.86,12051.291,Completed
04-08-2022,2021,ARIS,Aris Water Solution Inc,Delaware Energy Services LLC,,128.8,,22-07-2022,17.28,15-08-2022,16.46,504.88,0.53,19451.66905,Completed
03-08-2022,2021,BWA,BorgWarner Inc,Rhombus Energy Solutions Inc,"Nabtesco Corp,Inci Holding AS,Golden Regent Electronics Industrial Ltd,Greenhouse Capital Partners (Fund: Greenhouse Capital Partners II LP),Cycle Capital Management CCM Inc (Fund: Cycle Capital Fund IV LP),Emerald Technology Ventures AG (Fund: Emerald Water Innovation Impact Fund LP)",130,,22-07-2022,30.96,15-08-2022,33.76,7347.13,-2.89,99997.344,Completed
03-08-2022,2021,AEP,American Electric Power Co Inc,595 MW Cardinal Plant Unit 1/Brilliant,AEP Generation Resources Inc,,,22-07-2022,84.83,15-08-2022,94.75,47746.14,0.64,28544859.42,Completed
28-07-2022,2021,PBF,PBF Energy Inc,PBF Logistics LP,,1096.91,6.88,15-07-2022,25.8,08-08-2022,28.25,3396.12,-2.28,14160000,Completed
