Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status,Benchmark_Return,Abnormal_Return,Weighted_Abnormal_Return,Weight,Log_Carbon_Intensity
2020-07-20,2019,WEC,WEC Energy Group Inc,7523.100000,22141602.720000,4866.860900,Brown,260.9-MW Blooming Grove Wind Energy Center,Green,Invenergy LLC,,,2020-07-16,75.130000,2020-07-23,80.290000,6.870000,Completed,-0.578469,7.448469,0.018844,0.002530,8.490410
2020-07-07,2019,RUN,Sunrun Inc,858.580000,25437.110000,43.661600,Brown,Vivint Solar Inc,Green,,2865.310000,,2020-07-02,20.000000,2020-07-10,28.890000,31.910000,Completed,-3.436845,26.171608,0.007557,0.000289,3.799114
2020-05-07,2019,PLUG,Plug Power Inc,229.980000,7545.150000,44.356500,Brown,"Giner Elx Inc,United Hydrogen Group Inc",Green,,,,2020-05-01,3.920000,2020-05-11,4.310000,9.950000,Completed,1.293045,8.656955,0.000670,0.000077,3.814553
2020-05-03,2019,BX,Blackstone Inc,7338.270000,39166.070000,5.337200,Green,Aypa Power LLC,Green,,,,2020-04-29,45.460000,2020-05-06,43.320000,-4.700000,Completed,-1.735970,-2.964030,-0.007315,0.002468,1.846437
2020-03-12,2019,ALE,ALLETE Inc,1240.500000,4591359.200000,8639.069400,Brown,300 MW Caddo Wind Project,Green,Greenlight Energy Resources Inc,,,2020-03-06,61.310000,2020-03-16,44.470000,-21.660000,Completed,-13.822573,-7.837427,-0.003270,0.000417,9.064166
2019-11-05,2018,UBS,UBS Group AG,40206.000000,1479.950000,0.036800,Green,Phoenix Wind Repower,Green,,,,2019-11-01,10.150000,2019-11-08,10.530000,3.760000,Completed,4.710156,-0.950156,-0.012847,0.013521,0.036139
2019-10-25,2018,D,Dominion Energy Inc,11199.000000,20896503.620000,2673.081600,Brown,Solar Generating Project,Green,First Solar Inc,,,2019-10-21,64.970000,2019-10-28,64.110000,-1.320000,Completed,3.769919,-5.089919,-0.019169,0.003766,7.891361
2019-09-26,2018,D,Dominion Energy Inc,11199.000000,20896503.620000,2673.081600,Brown,"15 MW Myrtle Solar project,80 MW Greensville Solar facility",Green,Macquarie Group Ltd,,,2019-09-20,63.720000,2019-09-30,63.880000,0.250000,Completed,-3.315374,3.565374,0.013428,0.003766,7.891361
2019-09-12,2018,DUK,Duke Energy Corp,24521.000000,96560349.130000,5571.776400,Brown,Solar project/Texas,Green,Canadian Solar Inc,,,2019-09-06,75.010000,2019-09-16,74.490000,-0.680000,Completed,7.510218,-8.190218,-0.067538,0.008246,8.625649
2019-07-24,2018,AEP,American Electric Power Co Inc,16195.700000,38010092.990000,3035.829000,Brown,Santa Rita East Wind Project,Green,Invenergy Renewables LLC,,,2019-07-19,73.510000,2019-07-29,73.070000,-0.600000,Completed,-0.432198,-0.167802,-0.000914,0.005446,8.018569
2019-06-28,2018,CMI,Cummins Inc,23771.000000,305969.700000,12.871600,Green,Hydrogenics Corp,Green,,263.280000,,2019-06-24,146.410000,2019-07-01,148.730000,1.590000,Completed,0.330399,1.259601,0.010069,0.007994,2.629844
2019-06-17,2018,VATE,INNOVATE Corp,1976.700000,34472.780000,17.439600,Green,Ampcng LLC,Green,,41.000000,,2019-06-13,-7.060000,2019-06-20,-6.860000,,Completed,4.909368,,,0.000665,2.914501
2019-06-17,2018,TTE,TotalEnergies SE,184106.000000,40709232.890000,262.268300,Brown,Go Electric Inc,Green,,,,2019-06-13,37.260000,2019-06-20,38.760000,4.010000,Completed,4.909368,-0.899368,-0.055683,0.061913,5.573174
2019-06-11,2018,PLUG,Plug Power Inc,174.220000,5775.310000,44.356500,Brown,EnergyOr Technologies Inc,Green,,,,2019-06-07,2.550000,2019-06-14,2.550000,0.000000,Completed,0.032779,-0.032779,-0.000002,0.000059,3.814553
2019-05-30,2018,DUK,Duke Energy Corp,24521.000000,96560349.130000,5571.776400,Brown,Palmer Solar project,Green,Juwi Inc,,,2019-05-24,70.290000,2019-06-03,68.080000,-3.140000,Completed,-3.046120,-0.093880,-0.000774,0.008246,8.625649
2019-05-30,2018,DUK,Duke Energy Corp,24521.000000,96560349.130000,5571.776400,Brown,150-MW solar project/California,Green,Clearway Energy Group LLC,,,2019-05-24,70.290000,2019-06-03,68.080000,-3.140000,Completed,-3.046120,-0.093880,-0.000774,0.008246,8.625649
2019-05-17,2018,DUK,Duke Energy Corp,24521.000000,96560349.130000,5571.776400,Brown,100MW Lapetus Solar Energy Project,Green,7x Energy Inc,,,2019-05-13,68.940000,2019-05-20,68.830000,-0.170000,Completed,-0.421547,0.251547,0.002074,0.008246,8.625649
2019-05-16,2018,CSIQ,Canadian Solar Inc,3744.510000,159679.650000,42.643600,Brown,100-MW solar farm,Green,Goldman Sachs Group Inc/The,,,2019-05-10,19.120000,2019-05-20,17.440000,-8.790000,Completed,0.047076,-8.837076,-0.011128,0.001259,3.776057
2019-04-29,2018,GNRC,Generac Holdings Inc,2023.460000,63554.440000,31.408700,Brown,Pika Energy Inc,Green,"Clean Energy Venture Management LLC,CEI Ventures Inc (Fund: Coastal Ventures IV LP)",49.100000,,2019-04-25,54.780000,2019-05-02,57.500000,4.970000,Completed,-5.408603,10.378603,0.007062,0.000680,3.478427
2019-04-22,2018,NOG,Northern Oil and Gas Inc,678.920000,229013.780000,863.442700,Brown,Williston Basin properties/Valorem Energy LLC,Green,Valorem Energy LLC,295.000000,,2019-04-18,23.000000,2019-04-25,24.670000,7.280000,Completed,-0.622158,7.902158,0.001804,0.000228,6.762085
2019-02-12,2018,AEP,American Electric Power Co Inc,16195.700000,38010092.990000,3035.829000,Brown,AEP Wind Holdings LLC,Green,Sempra,894.000000,,2019-02-08,64.640000,2019-02-15,64.030000,-0.940000,Completed,4.570614,-5.510614,-0.030013,0.005446,8.018569
2019-01-16,2018,AMRC,Ameresco Inc,787.140000,21124.060000,23.715800,Green,Maximum Solar LLC,Green,,,,2019-01-11,15.250000,2019-01-22,14.410000,-5.510000,Completed,0.112208,-5.622208,-0.001488,0.000265,3.207443
2018-12-21,2017,ARES,Ares Management Corp,1674.710000,745.750000,0.445300,Green,3 Operating utility-scale wind facilities/Texas,Green,BP PLC,,,2018-12-17,16.940000,2018-12-24,13.580000,-19.820000,Completed,-12.476051,-7.343949,-0.004136,0.000563,0.368317
