Announce Date,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Company Name
16-07-2021,KMI,Kinder Morgan Inc,Kinetrex Energy,Parallel49 Equity,310,,Completed,Kinder Morgan Inc
16-07-2021,VOY0.F,Volatus Capital Corp,4122 hectares Bentley Property/Smithers,,0.03,,Completed,Volatus Capital Corp
14-07-2021,SPB.TO,Superior Plus Corp,"High Country Propane Inc,Kamps Propane Inc,Kiva Energy Inc,Competitive Capital Inc,Pick Up Propane Inc,Propane Construction & Meter Services",,240,,Completed,Superior Plus Corp
14-07-2021,ORA,Ormat Technologies Inc,TG Geothermal Portfolio LLC,,171,,Completed,Ormat Technologies Inc
14-07-2021,EVGO,EVgo Inc,Recargo Inc,Innogy SE/DE,25,,Completed,EVgo Inc
13-07-2021,AMPS,Altus Power Inc,Altus Power America Inc,,678,,Completed,Altus Power Inc
13-07-2021,ENEL.MI,Enel SpA,Portfolio of 3.2 GW solar plus storage projects,"RWE AG,Dakota Power Partners LLC",,,Completed,Enel SpA
13-07-2021,BP,BP PLC,Thorntons Inc,ArcLight Capital Partners LLC,,,Completed,BP PLC
13-07-2021,SIRC,Solar Integrated Roofing Corp,US Solar Network LLC,,,,Completed,Solar Integrated Roofing Corp
12-07-2021,WTTR,Select Water Solutions Inc,Complete Energy Services LLC,Superior Energy Services Inc,36.44,,Completed,Select Water Solutions Inc
12-07-2021,CTEK.V,Cleantek Industries Inc,Cleantek Industries Inc/Old,,,,Completed,Cleantek Industries Inc
09-07-2021,KMI,Kinder Morgan Inc,Twin Tier Pipeline LLC,"Consolidated Edison Inc,Crestwood Equity Partners LP",30,,Completed,Kinder Morgan Inc
09-07-2021,RNGR,Ranger Energy Services Inc,PerfX Wireline Services LLC,,19.54,,Completed,Ranger Energy Services Inc
09-07-2021,MTR,Mesa Royalty Trust,Portfolio of mininral,,,,Completed,Mesa Royalty Trust
07-07-2021,HLGN,Heliogen Inc,Heliogen Holdings Inc,,415,,Completed,Heliogen Inc
07-07-2021,GEOS,Geospace Technologies Corp,Aquana LLC,,1.4,,Completed,Geospace Technologies Corp
06-07-2021,PTEN,Patterson-UTI Energy Inc,Pioneer Energy Services Corp,,425.8,21.42,Completed,Patterson-UTI Energy Inc
05-07-2021,CHX,ChampionX Corp,Scientific Aviation Inc,,,,Completed,ChampionX Corp
02-07-2021,SPIEF,SPI Energy Co Ltd,Shared Technologies Inc,Arrow Electronics Inc,,,Completed,SPI Energy Co Ltd
02-07-2021,51J.F,VivoPower International PLC,Portfolio of solar development/US,Innovative Solar Systems LLC,,,Completed,VivoPower International PLC
02-07-2021,BAS.DE,BASF SE,Zodiac Enterprises LLC,,,,Completed,BASF SE
01-07-2021,CDZI,Cadiz Inc,220 mile Northern Pipeline,Kinder Morgan Inc,19,,Completed,Cadiz Inc
01-07-2021,EPD,Enterprise Products Partners LP,Ethylene Storage Business/NOVA Chemicals Corp,NOVA Chemicals Corp,,,Completed,Enterprise Products Partners LP
30-06-2021,CE,Celanese Corp,Santoprene synthetic rubber business/ExxonMobil,Exxon Mobil Corp,1150,,Completed,Celanese Corp
30-06-2021,ENLT,Enlight Renewable Energy Ltd,Clenera LLC,,433,,Completed,Enlight Renewable Energy Ltd
30-06-2021,INE.TO,Innergex Renewable Energy Inc,Energia LLaima SpA,,71.21,,Completed,Innergex Renewable Energy Inc
30-06-2021,POW.TO,Power Corp of Canada,Portfolio of 60MW fully-operational solar projects/New York,,,,Completed,Power Corp of Canada
24-06-2021,ENB.F,Ensign Energy Services Inc,Portfolio of 35 land-based drilling rigs & certain real property,Nabors Industries Ltd,95.36,,Completed,Ensign Energy Services Inc
24-06-2021,17J.F,Journey Energy Inc,Briko Energy Corp,,5.31,,Completed,Journey Energy Inc
23-06-2021,SAENF,Solar Alliance Energy Inc,389 KW solar project,Abundant Solar Power Inc,,,Completed,Solar Alliance Energy Inc
22-06-2021,ZPTAF,Surge Energy Inc,Astra Oil Corp,,123.26,,Completed,Surge Energy Inc
22-06-2021,4YJ0.MU,Spartan Delta Corp,Gold Creek & Simonette,,8.19,,Completed,Spartan Delta Corp
13-06-2021,COP,ConocoPhillips,Permian Basin properties,Shell PLC,9500,,Completed,ConocoPhillips
11-06-2021,TOU.TO,Tourmaline Oil Corp,Black Swan Energy Ltd,,920.53,,Completed,Tourmaline Oil Corp
10-06-2021,SPRQF,Sparq Systems Inc,Sparq Systems Inc,,,,Completed,Sparq Systems Inc
08-06-2021,RF,Regions Financial Corp,EnerBank USA,CMS Energy Corp,960,,Completed,Regions Financial Corp
