Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status,Target_Classification,Acquirer_Classification,Carbon_Intensity
2017-02-22,2016,SD,SandRidge Energy Inc,13100 acres in Stack Formation,"Red Mountain Energy Corp/United States,IOG Capital LP",,,2017-02-10,15.3,2017-03-06,14.23,564.44,4.51,170882.37,Completed,Neutral,Brown,302.7467
2017-02-13,2016,MPLX,MPLX LP,Ozark pipeline,Enbridge Energy Partners LP,220.0,,2017-02-02,17.78,2017-02-23,18.03,18522.9,2.93,305794.17,Completed,Neutral,Brown,16.509
2017-02-10,2016,SR,Spire Inc,PULS Inc,,,,2017-01-30,47.23,2017-02-21,47.86,2755.84,0.72,170808.96,Completed,Neutral,Brown,61.9807
2017-02-09,2016,EQT,EQT Corp,53400 core net Marcellus acres,Talos Energy Inc,527.0,,2017-01-27,32.47,2017-02-21,31.6,19273.04,1.05,296670.93,Completed,Neutral,Brown,15.3931
2017-02-01,2016,OKE,ONEOK Inc,ONEOK Partners LP,,17377.65,11.54,2017-01-20,33.87,2017-02-13,33.3,20404.26,1.44,2500000.05,Completed,Neutral,Brown,122.5234
2017-02-01,2016,WEC,WEC Energy Group Inc,Bluewater gas storage facility,Plains All American Pipeline LP,230.0,,2017-01-20,44.87,2017-02-13,44.79,13944.44,0.96,14590963.61,Completed,Brown,Brown,1046.3643
2017-01-27,2016,ENB,Enbridge Inc,Midcoast Energy Partners LP,Enbridge Energy Partners LP,170.21,200.98,2017-01-13,27.63,2017-02-06,27.5,59878.39,0.27,2530543.53,Completed,Neutral,Brown,42.2614
2017-01-19,2016,ED,Consolidated Edison Inc,Juhl Energy Services Inc,Juhl Energy Inc,,,2017-01-06,54.85,2017-01-30,54.35,18901.8,0.44,3103618.47,Completed,Neutral,Brown,164.197
2017-01-19,2016,ED,Consolidated Edison Inc,Ross Solar Group LLC,,,,2017-01-06,54.85,2017-01-30,54.35,18901.8,0.44,3103618.47,Completed,Green,Brown,164.197
2017-01-17,2016,XOM,Exxon Mobil Corp,Unnamed Target,,5600.0,,2017-01-06,60.75,2017-01-27,58.7,260221.3,1.68,120041438.1,Completed,Neutral,Brown,461.3052
2017-01-10,2016,DUK,Duke Energy Corp,"Rio Bravo I/CA,Rio Bravo II/CA,Wildwood Solar II/CA",SunPower Corp,,,2016-12-30,55.12,2017-01-20,54.91,42177.7,0.65,97942420.64,Completed,Green,Brown,2322.1375
2017-01-09,2016,FET,Forum Energy Technologies Inc,Cooper Valves LP,,14.5,,2016-12-29,440.0,2017-01-19,455.0,5699.64,-1.52,7947.95,Completed,Neutral,Green,1.3945
2017-01-05,2016,BLDP,Ballard Power Systems Inc,Ballard Power Systems Europe A/S,Dansk Industri Invest A/S,,,2016-12-23,1.76,2017-01-17,1.91,523.99,-24.69,3059.86,Completed,Neutral,Green,5.8395
2017-01-04,2016,AR,Antero Resources Corp,Ohio Utica assets/Warrior South Area,Rex Energy Corp,30.0,,2016-12-23,24.27,2017-01-17,25.45,7664.36,0.82,434856.27,Completed,Neutral,Brown,56.7375
2017-01-03,2016,ORA,Ormat Technologies Inc,Viridity Energy Inc,"Private Investor,Braemar Energy Ventures (Fund: Braemar Energy Ventures II LP),AltEnergy LLC,Intel Capital Corp (Fund: Intel Capital AppUp Fund)",35.0,,2016-12-23,49.89,2017-01-13,50.12,3030.44,0.72,230505.46,Completed,Neutral,Brown,76.0634
2016-12-20,2015,ATO,Atmos Energy Corp,Natural gas transportation pipeline,EnLink Midstream Partners LP,,,2016-12-09,60.14,2016-12-30,60.89,9700.27,1.33,450922.15,Completed,Brown,Brown,46.4855
2016-12-15,2015,CAT,Caterpillar Inc,Kemper Valve & Fittings Corp,,,,2016-12-02,78.43,2016-12-27,77.94,37242.9,3.18,454500.06,Completed,Neutral,Brown,12.2037
2016-12-14,2015,FANG,Diamondback Energy Inc,"Brigham Resources Operating LLC,Brigham Resources Midstream LLC",,2408.02,,2016-12-02,86.0,2016-12-27,82.59,23365.13,1.6,110412.35,Completed,Neutral,Green,4.7255
2016-12-14,2015,FCEL,FuelCell Energy Inc,1.4 MW Fuel cell power plant/US,,,,2016-12-02,720.0,2016-12-27,720.0,14462.36,-4.39,5565.8,Completed,Neutral,Green,0.3848
2016-12-13,2015,PTEN,Patterson-UTI Energy Inc,Seventy Seven Energy Inc,,1363.9,,2016-12-02,24.63,2016-12-23,23.42,9051.86,-0.88,173556.55,Completed,Neutral,Brown,19.1736
2016-11-23,2015,BTE,Baytex Energy Corp,Oil Sands Leases/Alberta,,48.2,,2016-11-11,3.66,2016-12-05,4.54,3033.08,2.43,1236120.96,Completed,Brown,Brown,407.5464
2016-11-22,2015,BTE,Baytex Energy Corp,Heavy oil assets/Peace River,,48.28,,2016-11-11,3.66,2016-12-02,4.46,3148.26,2.43,1236120.96,Completed,Brown,Brown,392.6362
2016-11-21,2015,PEG,Public Service Enterprise Group Inc,Northampton County solar energy facility/ North Carolina,BayWa r.e. GmbH,12.94,,2016-11-10,30.1,2016-12-01,30.85,15364.7,0.52,16582138.45,Completed,Green,Brown,1079.2361
